,RED Light CNR/dB,GREEN Light CNR/dB,ROI color,ROI layer
0,5.741503347753016,8.296844288361166,RED,layer1
1,6.403658023300275,10.157630111780007,RED,layer2
2,6.1342808980005685,10.167420324779899,RED,layer3
3,4.595828387516106,8.10850297468248,RED,layer4
4,8.226943467844807,4.865952920633811,GREEN,layer1
5,9.89139533812074,4.882725094550246,GREEN,layer2
6,10.040008825484012,4.273092345822461,GREEN,layer3
7,7.188656818140547,3.7684747885830383,GREEN,layer4
8,8.415041380604839,8.670603030041942,BLACK,layer1
9,10.244246828455854,10.63445269576624,BLACK,layer2
10,10.242741246692313,10.498603591310896,BLACK,layer3
11,8.79802583275287,8.922435813450203,BLACK,layer4
